fecha,anio,work_center_id,work_center_name,linea,min_disp_dia_base,unidades_paralelas,eficiencia,min_disp_total
2021-03-11,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-11,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-11,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-11,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-11,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-12,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-12,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-12,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-12,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-12,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-13,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-13,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-13,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-13,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-13,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-14,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-14,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-14,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-14,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-14,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-15,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-15,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-15,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-15,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-15,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-16,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-16,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-16,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-16,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-16,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-17,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-17,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-17,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-17,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-17,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-18,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-18,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-18,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-18,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-18,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-19,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-19,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-19,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-19,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-19,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-20,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-20,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-20,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-20,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-20,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-21,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-21,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-21,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-21,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-21,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-22,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-22,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-22,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-22,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-22,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-23,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-23,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-23,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-23,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-23,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-24,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-24,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-24,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-24,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-24,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-25,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-25,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-25,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-25,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-25,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-26,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-26,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-26,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-26,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-26,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-27,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-27,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-27,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-27,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-27,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-28,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-28,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-28,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-28,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-28,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-03-29,2021,WC_SARTEN,Sartén,Caliente,480,2,0.864,829.0
2021-03-29,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.89,427.2
2021-03-29,2021,WC_HORNO,Horno,Caliente,480,1,0.928,445.5
2021-03-29,2021,WC_TABLA,Tabla,Fria,480,2,0.937,899.8
2021-03-29,2021,WC_EMPLATE,Emplatado,General,480,2,0.954,916.0
2021-03-30,2021,WC_SARTEN,Sartén,Caliente,480,2,0.885,850.1
2021-03-30,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.919,440.9
2021-03-30,2021,WC_HORNO,Horno,Caliente,480,1,0.95,456.0
2021-03-30,2021,WC_TABLA,Tabla,Fria,480,2,0.916,879.1
2021-03-30,2021,WC_EMPLATE,Emplatado,General,480,2,0.911,874.2
2021-03-31,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-03-31,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-03-31,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-03-31,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-03-31,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-01,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-01,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-01,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-01,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-01,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-02,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-02,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-02,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-02,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-02,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-03,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-03,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-03,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-03,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-03,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-04,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-04,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-04,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-04,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-04,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-05,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-05,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-05,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-05,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-05,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-06,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-06,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-06,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-06,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-06,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-07,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-07,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-07,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-07,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-07,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-08,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-08,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-08,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-08,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-08,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-09,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-09,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-09,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-09,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-09,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-10,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-10,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-10,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-10,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-10,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-11,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-11,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-11,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-11,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-11,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-12,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-12,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-12,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-12,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-12,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-13,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-13,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-13,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-13,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-13,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-14,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-14,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-14,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-14,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-14,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-15,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-15,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-15,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-15,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-15,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-16,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-16,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-16,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-16,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-16,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-17,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-17,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-17,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-17,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-17,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-18,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-18,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-18,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-18,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-18,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-19,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-19,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-19,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-19,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-19,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-20,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-20,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-20,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-20,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-20,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-21,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-21,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-21,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-21,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-21,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-22,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-22,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-22,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-22,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-22,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-23,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-23,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-23,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-23,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-23,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-24,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-24,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-24,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-24,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-24,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-25,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-25,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-25,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-25,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-25,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-26,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-26,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-26,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-26,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-26,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-27,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-27,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-27,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-27,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-27,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-28,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-28,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-28,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-28,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-28,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-29,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-29,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-29,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-29,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-29,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-04-30,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-04-30,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-04-30,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-04-30,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-04-30,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-01,2021,WC_SARTEN,Sartén,Caliente,480,2,0.882,846.4
2021-05-01,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.867,416.3
2021-05-01,2021,WC_HORNO,Horno,Caliente,480,1,0.917,440.2
2021-05-01,2021,WC_TABLA,Tabla,Fria,480,2,0.898,862.1
2021-05-01,2021,WC_EMPLATE,Emplatado,General,480,2,0.946,908.6
2021-05-02,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-02,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-02,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-02,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-02,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-03,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-03,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-03,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-03,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-03,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-04,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-04,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-04,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-04,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-04,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-05,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-05,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-05,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-05,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-05,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-06,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-06,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-06,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-06,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-06,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-07,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-07,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-07,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-07,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-07,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-08,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-08,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-08,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-08,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-08,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-09,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-09,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-09,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-09,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-09,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-10,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-10,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-10,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-10,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-10,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-11,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-11,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-11,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-11,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-11,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-12,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-12,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-12,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-12,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-12,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-13,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-13,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-13,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-13,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-13,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-14,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-14,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-14,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-14,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-14,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-15,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-15,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-15,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-15,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-15,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-16,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-16,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-16,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-16,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-16,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-17,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-17,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-17,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-17,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-17,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-18,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-05-18,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-05-18,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-05-18,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-05-18,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-05-19,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
